ticker,date,gap_pct,open_price,atr,candle_color,has_follow_through,included_in_analysis,entry_price,entry_time,eod_close,eod_return,lod_price,lod_time,lod_minutes_from_open,lod_before_entry,hod_price,hod_time,hod_minutes_from_open,mae_pct,mfe_pct,new_low_after_entry,new_low_after_30min,max_pullback_before_new_high,fwd_15min,fwd_30min,fwd_1hr,fwd_2hr
AA,2024-01-24 05:00:00+00:00,0.0243902439024389,30.24,1.3971428571428566,BEARISH,False,False,,,,,,,,,,,,,,,,,,,,
AA,2024-02-27 05:00:00+00:00,0.0299921073401737,26.1,1.213928571428571,BEARISH,False,False,,,,,,,,,,,,,,,,,,,,
AA,2024-03-06 05:00:00+00:00,0.0286245353159852,27.67,1.1046428571428568,BEARISH,False,False,,,,,,,,,,,,,,,,,,,,
AA,2024-03-07 05:00:00+00:00,0.0239276852180078,28.885,1.1810714285714283,BULLISH,True,True,29.37,2024-03-07 09:30:00-05:00,29.87,0.017024174327545112,28.88,2024-03-07 09:30:00-05:00,0.0,True,30.1,2024-03-07 15:25:00-05:00,355.0,-0.01668369084099428,0.02485529451821588,True,False,-0.005958461014640814,-0.003404834865509071,-0.004766768811712651,0.0023833844058563257,0.004766768811712651
AA,2024-05-28 04:00:00+00:00,0.0266506602641056,42.76,1.5824999999999991,BULLISH,True,True,43.395,2024-05-28 11:25:00-04:00,43.24,-0.0035718400737412403,42.5,2024-05-28 09:35:00-04:00,5.0,True,43.56,2024-05-28 11:40:00-04:00,130.0,-0.015093904827745157,0.003802281368821273,True,False,-0.0014978684180206206,0.0014978684180204569,0.0026500748934207828,0.0005761032377001631,-0.005184929139301795
AA,2024-06-12 04:00:00+00:00,0.0427754289977617,41.93,1.6560714285714293,BEARISH,False,False,,,,,,,,,,,,,,,,,,,,
AA,2024-06-21 04:00:00+00:00,0.0222079589216943,39.815,1.4724999999999997,BEARISH,False,False,,,,,,,,,,,,,,,,,,,,
AA,2024-06-28 04:00:00+00:00,0.0261564231413477,39.82,1.330714285714286,BEARISH,False,False,,,,,,,,,,,,,,,,,,,,
AA,2024-07-03 04:00:00+00:00,0.02203182374541,41.75,1.3246428571428568,BULLISH,True,True,42.33,2024-07-03 09:45:00-04:00,42.395,0.00153555398062851,41.715,2024-07-03 09:30:00-04:00,0.0,True,42.99,2024-07-03 10:30:00-04:00,60.0,-0.006142215922513537,0.015591778880226878,True,False,-0.0007087172218285173,0.004134183793999629,0.002126151665485552,0.011339475549255941,0.004016064257028153
AA,2024-07-11 04:00:00+00:00,0.044302975185137,40.19,1.4146428571428575,BEARISH,False,False,,,,,,,,,,,,,,,,,,,,
AA,2024-07-12 04:00:00+00:00,0.022852036256862,40.06,1.4085714285714297,BEARISH,False,False,,,,,,,,,,,,,,,,,,,,
AA,2024-09-24 04:00:00+00:00,0.0691217302352767,36.58,1.649642857142857,BULLISH,True,True,37.3,2024-09-24 14:35:00-04:00,36.77,-0.014209115281501181,36.25,2024-09-24 10:40:00-04:00,70.0,True,37.35,2024-09-24 15:00:00-04:00,330.0,-0.014209115281501181,0.0013404825737266559,True,True,-0.0032171581769436315,-0.0016085790884717204,-0.000268096514745255,-0.005361930294906053,-0.014209115281501181
AA,2024-09-26 04:00:00+00:00,0.0633157456262149,38.29,1.786071428571429,BULLISH,True,True,39.085,2024-09-26 09:35:00-04:00,39.27,0.004733273634386651,38.08,2024-09-26 09:30:00-04:00,0.0,True,39.61,2024-09-26 13:10:00-04:00,220.0,-0.010873736727644986,0.013432263016502457,True,False,-0.005500831521043966,-0.003326084175514969,-0.0044774210055009405,-0.0044774210055009405,0.0020468210310860507
AA,2024-10-01 04:00:00+00:00,0.0233402489626555,39.46,1.7635714285714283,BULLISH,False,False,,,,,,,,,,,,,,,,,,,,
AA,2024-10-04 04:00:00+00:00,0.0259365994236309,39.16,1.5767857142857136,NEUTRAL,False,False,,,,,,,,,,,,,,,,,,,,
