ticker,status,rows
AA,skipped_missing_data_files,
AAL,skipped_missing_data_files,
AAPL,skipped_missing_data_files,
ABBV,skipped_missing_data_files,
ABNB,skipped_missing_data_files,
ACHR,skipped_missing_data_files,
AEO,skipped_missing_data_files,
AFRM,skipped_missing_data_files,
AI,skipped_missing_data_files,
AIQ,skipped_missing_data_files,
AIS,skipped_missing_data_files,
ALAB,skipped_missing_data_files,
AMD,skipped_missing_data_files,
AMZN,skipped_missing_data_files,
ANF,skipped_missing_data_files,
APLD,skipped_missing_data_files,
APP,skipped_missing_data_files,
ARKK,skipped_missing_data_files,
ARKQ,skipped_missing_data_files,
ARKX,skipped_missing_data_files,
ARM,skipped_missing_data_files,
ASML,skipped_missing_data_files,
ASTS,skipped_missing_data_files,
AVGO,skipped_missing_data_files,
BA,skipped_missing_data_files,
BABA,skipped_missing_data_files,
BAC,skipped_missing_data_files,
BE,skipped_missing_data_files,
BIDU,skipped_missing_data_files,
BLSH,skipped_missing_data_files,
BROS,skipped_missing_data_files,
BRZU,skipped_missing_data_files,
BULL,skipped_missing_data_files,
CASY,skipped_missing_data_files,
CAT,skipped_missing_data_files,
CCL,skipped_missing_data_files,
CDE,skipped_missing_data_files,
CELH,skipped_missing_data_files,
CIFR,skipped_missing_data_files,
CL,skipped_missing_data_files,
CLF,skipped_missing_data_files,
CLOU,skipped_missing_data_files,
CLSK,skipped_missing_data_files,
COIN,skipped_missing_data_files,
COP,skipped_missing_data_files,
COST,skipped_missing_data_files,
CPNG,skipped_missing_data_files,
CRCL,skipped_missing_data_files,
CRDO,skipped_missing_data_files,
CRWD,skipped_missing_data_files,
CRWV,skipped_missing_data_files,
CSCO,skipped_missing_data_files,
CVNA,skipped_missing_data_files,
CVS,skipped_missing_data_files,
CVX,skipped_missing_data_files,
DAL,skipped_missing_data_files,
DASH,skipped_missing_data_files,
DELL,skipped_missing_data_files,
DHI,skipped_missing_data_files,
DIA,skipped_missing_data_files,
DIS,skipped_missing_data_files,
DJT,skipped_missing_data_files,
DKNG,skipped_missing_data_files,
DLTR,skipped_missing_data_files,
DOCU,skipped_missing_data_files,
DTCR,skipped_missing_data_files,
DVN,skipped_missing_data_files,
EBAY,skipped_missing_data_files,
EDC,skipped_missing_data_files,
ENPH,skipped_missing_data_files,
EOG,skipped_missing_data_files,
EOSE,skipped_missing_data_files,
ETHU,skipped_missing_data_files,
ETOR,skipped_missing_data_files,
ETSY,skipped_missing_data_files,
EURL,skipped_missing_data_files,
EZJ,skipped_missing_data_files,
EZU,skipped_missing_data_files,
FAZ,skipped_missing_data_files,
FCG,skipped_missing_data_files,
FIG,skipped_missing_data_files,
FSLY,skipped_missing_data_files,
FTXH,skipped_missing_data_files,
FUBO,skipped_missing_data_files,
GE,skipped_missing_data_files,
GEMI,skipped_missing_data_files,
GILD,skipped_missing_data_files,
GLD,skipped_missing_data_files,
GM,skipped_missing_data_files,
GME,skipped_missing_data_files,
GOLD,skipped_missing_data_files,
GOOGL,skipped_missing_data_files,
GS,skipped_missing_data_files,
HAL,skipped_missing_data_files,
HD,skipped_missing_data_files,
HIMS,skipped_missing_data_files,
HON,skipped_missing_data_files,
HOOD,skipped_missing_data_files,
IBB,skipped_missing_data_files,
IBKR,skipped_missing_data_files,
IBOT,skipped_missing_data_files,
ICLN,skipped_missing_data_files,
IGV,skipped_missing_data_files,
IHE,skipped_missing_data_files,
INDL,skipped_missing_data_files,
INTC,skipped_missing_data_files,
IONQ,skipped_missing_data_files,
IPO,skipped_missing_data_files,
IREN,skipped_missing_data_files,
ITA,skipped_missing_data_files,
ITB,skipped_missing_data_files,
IWC,skipped_missing_data_files,
IWM,skipped_missing_data_files,
JD,skipped_missing_data_files,
JETS,skipped_missing_data_files,
JNJ,skipped_missing_data_files,
JPM,skipped_missing_data_files,
KORU,skipped_missing_data_files,
KRE,skipped_missing_data_files,
KTOS,skipped_missing_data_files,
KWEB,skipped_missing_data_files,
LEN,skipped_missing_data_files,
LI,skipped_missing_data_files,
LLY,skipped_missing_data_files,
LULU,skipped_missing_data_files,
LUNR,skipped_missing_data_files,
LYFT,skipped_missing_data_files,
M,skipped_missing_data_files,
MAGS,skipped_missing_data_files,
MARA,skipped_missing_data_files,
MEME,skipped_missing_data_files,
META,skipped_missing_data_files,
MEXX,skipped_missing_data_files,
MMM,skipped_missing_data_files,
MP,skipped_missing_data_files,
MRK,skipped_missing_data_files,
MRNA,skipped_missing_data_files,
MRVL,skipped_missing_data_files,
MS,skipped_missing_data_files,
MSFT,skipped_missing_data_files,
MU,skipped_missing_data_files,
NCLH,skipped_missing_data_files,
NET,skipped_missing_data_files,
NFLX,skipped_missing_data_files,
NIO,skipped_missing_data_files,
NKE,skipped_missing_data_files,
NLR,skipped_missing_data_files,
NNE,skipped_missing_data_files,
NRG,skipped_missing_data_files,
NVDA,skipped_missing_data_files,
NVO,skipped_missing_data_files,
OIH,skipped_missing_data_files,
OKLO,skipped_missing_data_files,
OPEN,skipped_missing_data_files,
ORCL,skipped_missing_data_files,
OSCR,skipped_missing_data_files,
OXY,skipped_missing_data_files,
PALL,skipped_missing_data_files,
PANW,skipped_missing_data_files,
PATH,skipped_missing_data_files,
PBW,skipped_missing_data_files,
PDD,skipped_missing_data_files,
PENN,skipped_missing_data_files,
PEP,skipped_missing_data_files,
PG,skipped_missing_data_files,
PL,skipped_missing_data_files,
PLTR,skipped_missing_data_files,
PLUG,skipped_missing_data_files,
PPH,skipped_missing_data_files,
PSX,skipped_missing_data_files,
QBTS,skipped_missing_data_files,
QCOM,skipped_missing_data_files,
QQQ,ok,0.0
QTUM,skipped_missing_data_files,
QUBT,skipped_missing_data_files,
RBLX,skipped_missing_data_files,
RCAT,skipped_missing_data_files,
RDDT,skipped_missing_data_files,
RGTI,skipped_missing_data_files,
RILY,skipped_missing_data_files,
RIOT,skipped_missing_data_files,
RIVN,skipped_missing_data_files,
RKLB,skipped_missing_data_files,
RKT,skipped_missing_data_files,
ROKU,skipped_missing_data_files,
RR,skipped_missing_data_files,
RTX,skipped_missing_data_files,
RUM,skipped_missing_data_files,
RUN,skipped_missing_data_files,
SCHW,skipped_missing_data_files,
SERV,skipped_missing_data_files,
SHOP,skipped_missing_data_files,
SLB,skipped_missing_data_files,
SLV,skipped_missing_data_files,
SMCI,skipped_missing_data_files,
SMH,skipped_missing_data_files,
SMR,skipped_missing_data_files,
SNAP,skipped_missing_data_files,
SNDK,skipped_missing_data_files,
SNOW,skipped_missing_data_files,
SOFI,skipped_missing_data_files,
SOUN,skipped_missing_data_files,
SOXS,skipped_missing_data_files,
SOXX,skipped_missing_data_files,
SPX,skipped_missing_data_files,
SPY,ok,2.0
SQQQ,skipped_missing_data_files,
TAN,skipped_missing_data_files,
TEM,skipped_missing_data_files,
TGT,skipped_missing_data_files,
TIGR,skipped_missing_data_files,
TSLA,skipped_missing_data_files,
TSM,skipped_missing_data_files,
U,skipped_missing_data_files,
UAL,skipped_missing_data_files,
UBER,skipped_missing_data_files,
UFO,skipped_missing_data_files,
UNH,skipped_missing_data_files,
UPST,skipped_missing_data_files,
VLO,skipped_missing_data_files,
VRT,skipped_missing_data_files,
VST,skipped_missing_data_files,
WMT,skipped_missing_data_files,
XBI,skipped_missing_data_files,
XHB,skipped_missing_data_files,
XLE,skipped_missing_data_files,
XLF,skipped_missing_data_files,
XLI,skipped_missing_data_files,
XLK,skipped_missing_data_files,
XLP,skipped_missing_data_files,
XLV,skipped_missing_data_files,
XOM,skipped_missing_data_files,
XOP,skipped_missing_data_files,
XPEV,skipped_missing_data_files,
YANG,skipped_missing_data_files,
Z,skipped_missing_data_files,
ZETA,skipped_missing_data_files,
ZM,skipped_missing_data_files,
ZS,skipped_missing_data_files,
