ticker,date,direction,gap_pct,abs_gap_pct,gap_bucket,atr,open_price,prev_close,candle_color,ft_level,has_ft,session_high,session_low,eod_close,hod_minutes_from_open,lod_minutes_from_open,entry_price,entry_time,ft_minutes_from_open,eod_return,eod_return_from_open,mae_pct,mfe_pct,adverse_after_ft,bounce_depth_before_dest,close_above_open,fwd_15min,fwd_30min,fwd_1hr,fwd_2hr,cs,is_nr7,bar1_time,data_ok,group
AA,2024-01-24,GAP_UP,0.0243902439024389,0.0243902439024389,2-5%,1.3971428571428566,30.24,29.52,BEARISH,29.681142857142856,True,30.34,29.335,29.775,130.0,25.0,29.62,2024-01-24 09:45:00-05:00,15.0,-0.005233,0.015377,0.024308,0.009622,True,0.000844,False,0.003714,-0.003883,-0.016712,-0.021101,-40.946430861462055,False,2024-01-24 09:30:00-05:00,True,bearish_non_magenta
AA,2024-02-27,GAP_UP,0.0299921073401737,0.0299921073401737,2-5%,1.213928571428571,26.1,25.34,BEARISH,25.61442857142857,True,27.0,25.235,26.7,240.0,0.0,25.43,2024-02-27 09:30:00-05:00,0.0,-0.049941,-0.022989,0.061738,0.007668,True,0.009438,True,-0.008651,-0.006292,-0.008061,-0.033032,,,,False,excluded_or_missing
AA,2024-03-06,GAP_UP,0.0286245353159852,0.0286245353159852,2-5%,1.1046428571428568,27.67,26.9,BEARISH,27.22814285714286,True,28.72,26.91,28.21,235.0,15.0,27.01,2024-03-06 09:35:00-05:00,5.0,-0.044428,-0.019516,0.06331,0.003702,True,0.002221,True,-0.00759,-0.004813,-0.020548,-0.03221,,,,False,excluded_or_missing
AA,2024-06-12,GAP_UP,0.0427754289977617,0.0427754289977617,2-5%,1.6560714285714293,41.93,40.21,BEARISH,41.26757142857143,True,42.21,39.72,39.72,0.0,385.0,41.215,2024-06-12 09:40:00-04:00,10.0,0.036273,0.052707,0.003154,0.036273,True,0.003154,False,0.003518,-0.000364,0.013709,0.012253,,,,False,excluded_or_missing
AA,2024-06-21,GAP_UP,0.0222079589216943,0.0222079589216943,2-5%,1.4724999999999997,39.815,38.95,BEARISH,39.226,False,40.54,39.175,40.4,385.0,5.0,,,,,-0.0146929549164887,,,,,,,,,,,,,False,excluded_or_missing
AA,2024-06-28,GAP_UP,0.0261564231413477,0.0261564231413477,2-5%,1.330714285714286,39.82,38.805,BEARISH,39.28771428571429,True,40.07,39.11,39.775,40.0,85.0,39.17,2024-06-28 10:55:00-04:00,85.0,-0.015445,0.00113,0.021445,0.001532,True,0.00434,False,-0.002298,-0.006382,-0.012765,-0.00868,,,,False,excluded_or_missing
AA,2024-07-11,GAP_UP,0.044302975185137,0.044302975185137,2-5%,1.4146428571428575,40.19,38.485,BEARISH,39.62414285714286,True,40.2,38.36,39.165,0.0,25.0,39.555,2024-07-11 09:30:00-04:00,0.0,0.00986,0.025504,0.016306,0.030211,True,-0.003287,False,0.016433,0.019467,0.011377,0.013525,,,,False,excluded_or_missing
AA,2024-07-12,GAP_UP,0.022852036256862,0.022852036256862,2-5%,1.4085714285714297,40.06,39.165,BEARISH,39.49657142857143,True,40.38,38.875,38.96,0.0,385.0,39.445,2024-07-12 09:50:00-04:00,20.0,0.012296,0.027459,0.002535,0.014451,True,0.002535,False,0.003803,0.001901,0.008239,0.00507,,,,False,excluded_or_missing
AA,2025-01-22,GAP_UP,0.0247217188713434,0.0247217188713434,2-5%,1.3364285714285704,39.585,38.63,BEARISH,39.050428571428576,True,39.83,38.71,38.81,0.0,370.0,38.79,2025-01-22 09:30:00-05:00,0.0,-0.000516,0.019578,0.026811,0.002062,True,0.012117,False,-0.008507,-0.0058,-0.003094,-0.005156,-90.07106734388627,False,2025-01-22 09:30:00-05:00,True,magenta_max_bear
AA,2025-02-06,GAP_UP,0.0205327413984462,0.0205327413984462,2-5%,1.504285714285715,36.78,36.04,BEARISH,36.178285714285714,True,36.86,35.33,35.92,0.0,330.0,36.07,2025-02-06 10:45:00-05:00,75.0,0.004159,0.023382,0.002911,0.020516,True,0.002911,False,-0.000693,-0.001386,0.000277,0.005268,64.47528880719311,False,2025-02-06 09:30:00-05:00,True,bearish_non_magenta
